LID , TYPE , CA , NP , PD
I:/Project/BHLU/ReclassTo3/FID_0/year_1992.img , cls_1 , 80277529.9691 ,   47563.0000 ,       0.0387
I:/Project/BHLU/ReclassTo3/FID_0/year_1992.img , cls_2 , 41961178.2430 ,   96839.0000 ,       0.0787
I:/Project/BHLU/ReclassTo3/FID_0/year_1992.img , cls_3 ,  763826.7125 ,    5431.0000 ,       0.0044
I:/Project/BHLU/ReclassTo3/FID_0/year_2015.img , cls_1 , 81416012.4484 ,   47079.0000 ,       0.0383
I:/Project/BHLU/ReclassTo3/FID_0/year_2015.img , cls_2 , 40158548.2722 ,   95379.0000 ,       0.0775
I:/Project/BHLU/ReclassTo3/FID_0/year_2015.img , cls_3 , 1427974.2040 ,    8230.0000 ,       0.0067
I:/Project/BHLU/ReclassTo3/FID_1/year_1992.img , cls_1 , 23498898.5624 ,    4167.0000 ,       0.0142
I:/Project/BHLU/ReclassTo3/FID_1/year_1992.img , cls_2 , 4795778.5161 ,   13372.0000 ,       0.0455
I:/Project/BHLU/ReclassTo3/FID_1/year_1992.img , cls_3 , 1082726.3028 ,    2425.0000 ,       0.0083
I:/Project/BHLU/ReclassTo3/FID_1/year_2015.img , cls_1 , 23216529.6464 ,    4439.0000 ,       0.0151
I:/Project/BHLU/ReclassTo3/FID_1/year_2015.img , cls_2 , 4682897.2280 ,   13944.0000 ,       0.0475
I:/Project/BHLU/ReclassTo3/FID_1/year_2015.img , cls_3 , 1477976.5069 ,    3777.0000 ,       0.0129
I:/Project/BHLU/ReclassTo3/FID_2/year_1992.img , cls_1 , 6125800.9463 ,    1486.0000 ,       0.0189
I:/Project/BHLU/ReclassTo3/FID_2/year_1992.img , cls_2 , 1667527.4675 ,    3082.0000 ,       0.0393
I:/Project/BHLU/ReclassTo3/FID_2/year_1992.img , cls_3 ,   51525.5644 ,     289.0000 ,       0.0037
I:/Project/BHLU/ReclassTo3/FID_2/year_2015.img , cls_1 , 6010532.5822 ,    1763.0000 ,       0.0225
I:/Project/BHLU/ReclassTo3/FID_2/year_2015.img , cls_2 , 1739619.6535 ,    2829.0000 ,       0.0361
I:/Project/BHLU/ReclassTo3/FID_2/year_2015.img , cls_3 ,   94701.7425 ,     413.0000 ,       0.0053
I:/Project/BHLU/ReclassTo3/FID_3/year_1992.img , cls_1 , 16148965.5459 ,    8272.0000 ,       0.0363
I:/Project/BHLU/ReclassTo3/FID_3/year_1992.img , cls_3 ,  218725.9578 ,    2358.0000 ,       0.0103
I:/Project/BHLU/ReclassTo3/FID_3/year_1992.img , cls_2 , 6431101.0605 ,   10163.0000 ,       0.0446
I:/Project/BHLU/ReclassTo3/FID_3/year_2015.img , cls_1 , 16117047.1487 ,    8404.0000 ,       0.0369
I:/Project/BHLU/ReclassTo3/FID_3/year_2015.img , cls_3 ,  406642.1686 ,    3787.0000 ,       0.0166
I:/Project/BHLU/ReclassTo3/FID_3/year_2015.img , cls_2 , 6275103.2469 ,   10573.0000 ,       0.0464
I:/Project/BHLU/ReclassTo3/FID_4/year_1992.img , cls_2 , 23459708.5041 ,   23310.0000 ,       0.0437
I:/Project/BHLU/ReclassTo3/FID_4/year_1992.img , cls_1 , 29543888.7897 ,   15396.0000 ,       0.0289
I:/Project/BHLU/ReclassTo3/FID_4/year_1992.img , cls_3 ,  317167.2886 ,    3634.0000 ,       0.0068
I:/Project/BHLU/ReclassTo3/FID_4/year_2015.img , cls_2 , 24763091.7767 ,   21932.0000 ,       0.0411
I:/Project/BHLU/ReclassTo3/FID_4/year_2015.img , cls_1 , 27762990.3658 ,   18364.0000 ,       0.0344
I:/Project/BHLU/ReclassTo3/FID_4/year_2015.img , cls_3 ,  794682.4399 ,    7209.0000 ,       0.0135
I:/Project/BHLU/ReclassTo3/FID_5/year_1992.img , cls_1 , 127540246.8154 ,   72447.0000 ,       0.0358
I:/Project/BHLU/ReclassTo3/FID_5/year_1992.img , cls_2 , 74582903.6874 ,   93669.0000 ,       0.0463
I:/Project/BHLU/ReclassTo3/FID_5/year_1992.img , cls_3 ,  239329.8511 ,    2416.0000 ,       0.0012
I:/Project/BHLU/ReclassTo3/FID_5/year_2015.img , cls_1 , 123655572.8260 ,   76767.0000 ,       0.0379
I:/Project/BHLU/ReclassTo3/FID_5/year_2015.img , cls_2 , 78182097.8741 ,   83809.0000 ,       0.0414
I:/Project/BHLU/ReclassTo3/FID_5/year_2015.img , cls_3 ,  524809.6537 ,    3753.0000 ,       0.0019
I:/Project/BHLU/ReclassTo3/FID_6/year_1992.img , cls_1 , 36593552.7266 ,    2991.0000 ,       0.0075
I:/Project/BHLU/ReclassTo3/FID_6/year_1992.img , cls_3 ,  105355.6287 ,    1045.0000 ,       0.0026
I:/Project/BHLU/ReclassTo3/FID_6/year_1992.img , cls_2 , 2964320.0469 ,   16920.0000 ,       0.0427
I:/Project/BHLU/ReclassTo3/FID_6/year_2015.img , cls_1 , 36621618.0756 ,    3083.0000 ,       0.0078
I:/Project/BHLU/ReclassTo3/FID_6/year_2015.img , cls_3 ,  204395.1959 ,    1593.0000 ,       0.0040
I:/Project/BHLU/ReclassTo3/FID_6/year_2015.img , cls_2 , 2837215.1306 ,   16980.0000 ,       0.0428
I:/Project/BHLU/ReclassTo3/FID_7/year_1992.img , cls_2 , 7389694.1652 ,   15212.0000 ,       0.0525
I:/Project/BHLU/ReclassTo3/FID_7/year_1992.img , cls_1 , 21559297.6812 ,    7362.0000 ,       0.0254
I:/Project/BHLU/ReclassTo3/FID_7/year_1992.img , cls_3 ,   35538.8137 ,     431.0000 ,       0.0015
I:/Project/BHLU/ReclassTo3/FID_7/year_2015.img , cls_2 , 7895647.3649 ,   15250.0000 ,       0.0526
I:/Project/BHLU/ReclassTo3/FID_7/year_2015.img , cls_1 , 21011295.4440 ,    8136.0000 ,       0.0281
I:/Project/BHLU/ReclassTo3/FID_7/year_2015.img , cls_3 ,   77587.8512 ,     747.0000 ,       0.0026
I:/Project/BHLU/ReclassTo3/FID_8/year_1992.img , cls_1 , 9378997.0081 ,     748.0000 ,       0.0076
I:/Project/BHLU/ReclassTo3/FID_8/year_1992.img , cls_2 ,  434485.5537 ,    1938.0000 ,       0.0197
I:/Project/BHLU/ReclassTo3/FID_8/year_1992.img , cls_3 ,    8637.4586 ,     231.0000 ,       0.0024
I:/Project/BHLU/ReclassTo3/FID_8/year_2015.img , cls_1 , 9650849.1641 ,     617.0000 ,       0.0063
I:/Project/BHLU/ReclassTo3/FID_8/year_2015.img , cls_2 ,  159676.7649 ,    2070.0000 ,       0.0211
I:/Project/BHLU/ReclassTo3/FID_8/year_2015.img , cls_3 ,   11594.0914 ,     267.0000 ,       0.0027
I:/Project/BHLU/ReclassTo3/FID_9/year_1992.img , cls_1 , 28986616.6084 ,   26104.0000 ,       0.0423
I:/Project/BHLU/ReclassTo3/FID_9/year_1992.img , cls_2 , 32407801.5421 ,   18825.0000 ,       0.0305
I:/Project/BHLU/ReclassTo3/FID_9/year_1992.img , cls_3 ,  298430.5220 ,    2941.0000 ,       0.0048
I:/Project/BHLU/ReclassTo3/FID_9/year_2015.img , cls_1 , 26682413.6767 ,   29651.0000 ,       0.0481
I:/Project/BHLU/ReclassTo3/FID_9/year_2015.img , cls_2 , 34324001.3912 ,   17280.0000 ,       0.0280
I:/Project/BHLU/ReclassTo3/FID_9/year_2015.img , cls_3 ,  686433.6045 ,    5915.0000 ,       0.0096
I:/Project/BHLU/ReclassTo3/FID_10/year_1992.img , cls_1 , 62566658.9988 ,    6650.0000 ,       0.0090
I:/Project/BHLU/ReclassTo3/FID_10/year_1992.img , cls_2 , 11443194.9840 ,   32755.0000 ,       0.0442
I:/Project/BHLU/ReclassTo3/FID_10/year_1992.img , cls_3 ,   35792.0034 ,     605.0000 ,       0.0008
I:/Project/BHLU/ReclassTo3/FID_10/year_2015.img , cls_1 , 61910172.9139 ,    7358.0000 ,       0.0099
I:/Project/BHLU/ReclassTo3/FID_10/year_2015.img , cls_2 , 11973510.9911 ,   32049.0000 ,       0.0433
I:/Project/BHLU/ReclassTo3/FID_10/year_2015.img , cls_3 ,  161962.0812 ,    2341.0000 ,       0.0032
I:/Project/BHLU/ReclassTo3/FID_11/year_1992.img , cls_1 , 158277888.7822 ,    6626.0000 ,       0.0040
I:/Project/BHLU/ReclassTo3/FID_11/year_1992.img , cls_2 , 7529751.4937 ,   22453.0000 ,       0.0135
I:/Project/BHLU/ReclassTo3/FID_11/year_1992.img , cls_3 ,   84854.8233 ,    1417.0000 ,       0.0009
I:/Project/BHLU/ReclassTo3/FID_11/year_2015.img , cls_1 , 157973258.2064 ,    6845.0000 ,       0.0041
